id,name,developer,publisher,region,releaseDate,category,esrb,players,upc,board,sortName,UnitsSold
NES-WO-USA,The 3-D Battles of WorldRunner,Square,Acclaim Entertainment,NTSC (N. America),1987-09,Action & Adventure,Everyone,1,21481102014,NES-UNROM,3-D BATTLES OF WORLDRUNNER,
NES-8E-USA,8 Eyes,Thinking Rabbit,Taxan,NTSC (N. America),1990-01,Action & Adventure,Everyone,2,40886308593,NES-TLROM,8 EYES,
NES-TY-USA,10-Yard Fight,Irem,Nintendo,NTSC (N. America),1985-10-18,Sports,Everyone,2,45496630270,NES-NROM-256,10-YARD FIGHT,
NES-72-USA,720°,Beam Software,Mindscape,NTSC (N. America),1989-11,Sports,Everyone,1,50047103158,NES-SGROM,720°,
NES-NF-USA,1942,Micronics,Capcom,NTSC (N. America),1986-11,Shooter,Everyone,2,21000613595,NES-NROM-256,1942,"1,000,000"
NES-43-USA,1943: The Battle of Midway,Capcom,Capcom,NTSC (N. America),1988-10,Shooter,Everyone,1,13388110100,NES-UNROM,1943: THE BATTLE OF MIDWAY,
NES-A3-USA,Abadox: The Deadly Inner War,Natsume,Milton Bradley Company,NTSC (N. America),1990-03,Action & Adventure,Everyone,1,32244040887,NES-SLROM,ABADOX: THE DEADLY INNER WAR,
NES-6Z-USA,The Addams Family,Ocean Software,Ocean Software,NTSC (N. America),1992-01,Action & Adventure,Everyone,1,20295010034,NES-SLROM,ADDAMS FAMILY,
NES-FM-USA,The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean Software,NTSC (N. America),1993-08,Platformer,Everyone,1,20295010072,NES-SLROM,ADDAMS FAMILY: PUGSLEY'S SCAVENGER HUNT,
NES-DS-USA,Advanced Dungeons & Dragons: DragonStrike,Westwood Studios,FCI,NTSC (N. America),1992-07,RPG,N/A,2,22909100155,NES-TLROM,ADVANCED DUNGEONS & DRAGONS: DRAGONSTRIKE,
NES-LQ-USA,Advanced Dungeons & Dragons: Heroes of the Lance,Natsume,FCI,NTSC (N. America),1991-01,RPG,Everyone,1,22909100100,NES-SKEPROM,ADVANCED DUNGEONS & DRAGONS: HEROES OF THE LANCE,
NES-QQ-USA,Advanced Dungeons & Dragons: Hillsfar,Crosstalk,FCI,NTSC (N. America),1993-02,RPG,N/A,1,22909100162,NES-SNROM,ADVANCED DUNGEONS & DRAGONS: HILLSFAR,
NES-QA-USA,Advanced Dungeons & Dragons: Pool of Radiance,"Marionette, SRS",FCI,NTSC (N. America),1992-04,RPG,Mature,1,22909100131,NES-TKROM,ADVANCED DUNGEONS & DRAGONS: POOL OF RADIANCE,
NES-TB-USA,Adventure Island,Hudson Soft,Hudson Soft,NTSC (N. America),1988-09,Platformer,Everyone,1,39854000010,NES-CNROM,ADVENTURE ISLAND,"1,050,000"
NES-V7-USA,Adventure Island II,Now Production,Hudson Soft,NTSC (N. America),1991-02,Platformer,Everyone,1,39854000102,NES-TLROM,ADVENTURE ISLAND II,
NES-AT-USA,Adventure Island 3,Now Production,Hudson Soft,NTSC (N. America),1992-09,Platformer,Everyone,1,39854000195,NES-TLROM,ADVENTURE ISLAND 3,
